amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol,rsi_14,macd_dif,macd_dea,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,tr,atr_14
1303286.885,-0.1,27.02,27.88,26.04,26.96,-0.3687,27.12,2026-02-26,002636.SZ,482170.81,68.55823176229215,1.7531853523996261,1.7943191367007352,-0.08226756860221807,25.2805,27.750952547504824,22.810047452495176,0.19544332964180483,1.8399999999999999,1.4208723849606435
806827.963,0.23,27.25,27.75,26.1,26.36,0.8512,27.02,2026-02-27,002636.SZ,297658.15,69.33385012076398,1.7616436806914741,1.7877840454988831,-0.052280729614818,25.478,27.91310812469318,23.04289187530682,0.19115378951983514,1.6499999999999986,1.4372386431777402
910394.576,0.02,27.27,27.57,26.12,26.72,0.0734,27.25,2026-03-02,002636.SZ,338358.82,69.40452826122768,1.7497903062113949,1.7801852976413857,-0.060789982859981606,25.56,28.123714410566578,22.99628558943342,0.20060363149973232,1.4499999999999993,1.4381501686650444
1437906.637,-0.31,26.96,29.45,26.81,29.0,-1.1368,27.27,2026-03-03,002636.SZ,516019.69,66.83333127028308,1.695833499354226,1.7633149379839537,-0.13496287725945555,25.59,28.206626997129057,22.973373002870943,0.20450386847433036,2.6400000000000006,1.5239965851889699
932659.589,0.13,27.09,28.12,25.85,25.85,0.4822,26.96,2026-03-04,002636.SZ,342960.9,67.37910145410513,1.6446042803139385,1.7395728064499507,-0.1899370522720245,25.6065,28.25811936619064,22.95488063380936,0.2071051776846223,2.2699999999999996,1.5772825433897577
937643.233,-0.54,26.55,28.0,26.23,27.66,-1.9934,27.09,2026-03-05,002636.SZ,346848.33,62.759321565556746,1.542648575592196,1.7001879602783998,-0.31507876937240775,25.613,28.273637834093524,22.952362165906475,0.20775682927369105,1.7699999999999996,1.591048076004775
611536.109,-0.55,26.0,27.1,25.7,26.6,-2.0716,26.55,2026-03-06,002636.SZ,232642.23,58.369605408725015,1.401314065333363,1.6404131812893925,-0.47819823191205924,25.682,28.305525952044686,23.05847404795531,0.20430853921382194,1.4000000000000021,1.577401784861577
691559.052,-0.66,25.34,25.5,23.81,25.27,-2.5385,26.0,2026-03-09,002636.SZ,281231.97,53.53090519546525,1.2219629354686568,1.5567231321252455,-0.6695203933131775,25.676,28.302211199267347,23.04978880073265,0.2045654462741353,2.1900000000000013,1.6211588002286073
439376.465,2.53,27.87,27.87,26.0,26.13,9.9842,25.34,2026-03-10,002636.SZ,161749.12,65.37888444517813,1.2693435267658941,1.4992472110533752,-0.4598073685749622,25.8555,28.569250366675405,23.141749633324594,0.20991668052641843,2.530000000000001,1.6860760287837069
1803194.156,0.73,28.6,30.3,28.4,28.91,2.6193,27.87,2026-03-11,002636.SZ,619110.8,67.92041771458062,1.3502332375911834,1.469444416360937,-0.23842235753950725,26.063,28.953158254636136,23.17284174536386,0.22178246975683058,2.4299999999999997,1.7392134552991563
1229531.381,-0.71,27.89,30.2,27.64,28.73,-2.4825,28.6,2026-03-12,002636.SZ,426973.41,63.07084409182111,1.341582917154124,1.4438721165195745,-0.2045783987309009,26.256999999999998,29.087183925583428,23.426816074416568,0.21557557417705225,2.5599999999999987,1.7978410656349308
1352541.924,1.16,29.05,29.98,27.59,27.59,4.1592,27.89,2026-03-13,002636.SZ,466596.64,67.19240673204054,1.4120525188954076,1.4375081969947412,-0.05091135619866716,26.5365,29.307114790220517,23.765885209779483,0.20881538938597907,2.3900000000000006,1.840138132375293
1507037.411,2.91,31.96,31.96,28.16,29.2,10.0172,29.05,2026-03-16,002636.SZ,497894.67,74.79281007611036,1.6833087308705394,1.486668303769901,0.3932808542012771,26.955000000000002,30.317082687858694,23.59291731214131,0.24945892694184318,3.8000000000000007,1.9801282657770578
2081474.558,0.46,32.42,32.98,30.11,32.86,1.4393,31.96,2026-03-17,002636.SZ,658221.32,75.74920608531897,1.9133435552855786,1.5720033540730367,0.6826804024250839,27.361,31.286961632115265,23.435038367884736,0.28697501057090485,2.8699999999999974,2.043690532507268
2563355.128,2.38,34.8,35.0,31.5,31.82,7.3411,32.42,2026-03-18,002636.SZ,762698.14,79.9812815394495,2.261623334467899,1.7099273501520094,1.103391968631779,27.858500000000003,32.82779636022933,22.889203639770678,0.35675261483779275,3.5,2.147712637328177
1714749.636,-1.2,33.6,34.34,32.32,33.0,-3.4483,34.8,2026-03-19,002636.SZ,513078.03,73.05840480333922,2.412992126311959,1.8505403053839995,1.1249036418559193,28.208499999999997,33.756891042265636,22.66010895773436,0.3933843375057617,2.479999999999997,2.171447448947593
1739280.736,-2.3,31.3,34.48,31.2,34.0,-6.8452,33.6,2026-03-20,002636.SZ,531035.33,61.984244066404486,2.3206116398500463,1.944554572277209,0.7521141351456744,28.463500000000003,34.091435117270755,22.835564882729255,0.3954492678181355,3.2799999999999976,2.2506297740227645
1432725.753,-3.13,28.17,30.7,28.17,30.04,-10.0,31.3,2026-03-23,002636.SZ,491310.98,50.71747386555684,1.972101439461369,1.9500639457140412,0.04407498749465555,28.5965,34.05368367697197,23.13931632302803,0.38166794376738206,3.129999999999999,2.313441933021138
1483494.588,2.82,30.99,30.99,27.88,28.51,10.0106,28.17,2026-03-24,002636.SZ,507036.68,58.106023082165095,1.90153531164162,1.940358218899557,-0.07764581451587382,28.8625,34.237067302044814,23.487932697955188,0.3724256250875574,3.1099999999999994,2.3703389378053425
1536625.821,0.41,31.4,32.99,30.71,31.26,1.323,30.99,2026-03-25,002636.SZ,482764.19,59.0668838237985,1.8572850939863592,1.9237435939169176,-0.13291699986111682,29.0765,34.49955128715897,23.65344871284103,0.3730195372317144,2.280000000000001,2.3638861565335323
1100179.952,0.47,31.87,32.45,31.04,31.25,1.4968,31.4,2026-03-26,002636.SZ,347119.24,60.19396820276814,1.8389433554360934,1.906783546220753,-0.13568038156931905,29.319,34.78840543290332,23.849594567096684,0.3730963152156156,1.4100000000000037,2.2957514310668516
861834.262,-0.61,31.26,31.8,30.2,30.61,-1.914,31.87,2026-03-27,002636.SZ,277682.27,57.96321883845213,1.7549554593589782,1.8764179288483982,-0.24292493897883993,29.5195,34.963494179972784,24.075505820027217,0.3688405413352383,1.6700000000000017,2.2510549002763622
1223102.175,0.95,32.21,33.15,30.36,30.36,3.039,31.26,2026-03-30,002636.SZ,380774.38,60.42312081882697,1.744936960046612,1.8501217350880412,-0.2103695500828584,29.7665,35.228993261467465,24.304006738532536,0.367022878838121,2.789999999999999,2.289550978828051
1247063.639,-2.06,30.15,32.55,29.93,32.0,-6.3955,32.21,2026-03-31,002636.SZ,402876.81,53.158847098493744,1.5528719026360989,1.790671768597653,-0.4755997319231082,29.926,35.22736586173775,24.62463413826224,0.35429832665493255,2.6199999999999974,2.3131544803403328
1742204.402,1.28,31.43,33.17,30.8,31.61,4.2454,30.15,2026-04-01,002636.SZ,541237.6,56.646554915192354,1.4868052975123547,1.7298984743805934,-0.48618635373647745,30.143,35.30915748481337,24.976842515186632,0.3427765972075353,3.020000000000003,2.3636434460303093
1385325.83,-2.4,29.03,30.85,29.0,30.0,-7.636,31.43,2026-04-02,002636.SZ,466050.46,49.2429603503165,1.2266470707343515,1.629248193651345,-0.8052022458339869,30.267000000000003,35.18303648652454,25.350963513475463,0.32484464839756433,2.4299999999999997,2.368383199885287
1087949.833,0.22,29.25,29.59,27.88,29.16,0.7578,29.03,2026-04-03,002636.SZ,376982.11,49.8894982664946,1.0263903737346673,1.5086766296680096,-0.9645725118666846,30.4295,34.95065716440621,25.908342835593796,0.29715619148564426,1.7100000000000009,2.3213558284649096
1664219.488,2.56,31.81,32.18,29.58,30.04,8.7521,29.25,2026-04-07,002636.SZ,534591.65,56.78730517851445,1.0620138689772531,1.4193440775298585,-0.7146604171052107,30.752999999999997,34.619286672193006,26.88671332780699,0.2514412689619229,2.9299999999999997,2.3648304121459875
1671513.385,2.0,33.81,34.2,31.99,32.39,6.2873,31.81,2026-04-08,002636.SZ,505830.18,61.27245507596622,1.2373654522131616,1.3829483524665191,-0.29116580050671503,31.05,34.8963434447193,27.203656555280702,0.24775159064214483,2.390000000000004,2.3666282398498457
2294791.92,3.38,37.19,37.19,33.72,33.85,9.997,33.81,2026-04-09,002636.SZ,629186.42,67.42579401824639,1.6302777701078064,1.4324142359947767,0.3957270682260594,31.479499999999994,36.02820473177148,26.930795268228508,0.28899472556879796,3.469999999999999,2.4454405084319997
2846857.6,-1.26,35.93,38.88,35.47,38.11,-3.388,37.19,2026-04-10,002636.SZ,777247.74,63.38281993889411,1.8190235716479677,1.5097361031254148,0.6185749370451057,31.8815,36.51481767004779,27.248182329952208,0.29065869987596515,3.4100000000000037,2.5143376149725714
1696695.693,0.67,36.6,37.58,36.01,36.01,1.8647,35.93,2026-04-13,002636.SZ,462530.97,64.59840852766084,1.9996190164825904,1.6077126857968502,0.7838126613714804,32.259,37.1443805540503,27.3736194459497,0.30288481069160855,1.6499999999999986,2.452599213903102
2286295.971,2.19,38.79,39.48,36.23,37.0,5.9836,36.6,2026-04-14,002636.SZ,600158.43,68.3024925305341,2.293024347717896,1.7447750181810595,1.0964986590736734,32.6005,38.28705098502257,26.913949014977426,0.3488628079337784,3.25,2.5095564129100234
1869774.374,-1.32,37.47,39.79,37.26,38.36,-3.4029,38.79,2026-04-15,002636.SZ,490654.84,63.95867101660111,2.391469842586382,1.874113983062124,1.0347117190485156,32.853,38.94016371598967,26.765836284010334,0.37056973280916006,2.530000000000001,2.511016669130736
1548555.383,1.27,38.74,39.2,36.43,37.06,3.3894,37.47,2026-04-16,002636.SZ,404813.51,66.18677996687431,2.5426568275393393,2.007822551957567,1.0696685511635442,33.05,39.63697598534994,26.463024014650053,0.39860671620877125,2.770000000000003,2.5295154784785407
1715232.876,0.16,38.9,39.92,38.15,38.72,0.413,38.74,2026-04-17,002636.SZ,439215.32,66.4680319640353,2.644895555607441,2.135237152687542,1.0193168058397974,33.315000000000005,40.40256806335075,26.227431936649257,0.4254881022572862,1.7700000000000031,2.4752643728729313
1495624.703,0.67,39.57,39.98,38.69,39.45,1.7224,38.9,2026-04-20,002636.SZ,379841.19,67.68034642305761,2.7483031567364975,2.2578503534973335,0.9809056064783279,33.7285,41.27142774374554,26.185572256254453,0.4472732403602618,1.2899999999999991,2.390602631953436
1944291.528,2.31,41.88,42.0,38.38,38.8,5.8378,39.57,2026-04-21,002636.SZ,483486.99,71.50542441523706,2.982274318228079,2.402735146443483,1.1590783435691918,34.414,42.313456077211086,26.514543922788917,0.45908386570646154,3.6199999999999974,2.4784167296710478
1922804.089,4.19,46.07,46.07,41.0,41.65,10.0048,41.88,2026-04-22,002636.SZ,439100.59,76.85598240052025,3.4658440394168863,2.6153569250381636,1.7009742287574454,35.168,44.44927622803298,25.88672377196702,0.5278250812120666,5.07,2.6635298204088302
2671778.744,-2.82,43.25,47.37,42.01,46.93,-6.1211,46.07,2026-04-23,002636.SZ,605856.4,67.6489865803376,3.5802551424632014,2.8083365685231714,1.54383714788006,35.7605,45.52913611662061,25.991863883379388,0.546336662888976,5.359999999999999,2.856134833236771
1689844.574,-1.92,41.33,43.18,40.67,42.51,-4.4393,43.25,2026-04-24,002636.SZ,405808.57,62.1866988337221,3.475930449494207,2.9418553447173785,1.0681502095536572,36.23350000000001,46.12430865194909,26.34269134805092,0.5459482882939316,2.5799999999999983,2.8364109165770017
