ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300408.SZ,20250526,32.71,32.95,32.35,32.46,32.88,-0.42,-1.2774,122820.64,399550.425
300408.SZ,20250527,32.46,32.52,31.98,32.01,32.46,-0.45,-1.3863,124158.89,399429.169
300408.SZ,20250528,32.01,32.41,31.93,32.12,32.01,0.11,0.3436,63257.71,203646.679
300408.SZ,20250529,32.0,32.77,31.93,32.67,32.12,0.55,1.7123,104578.88,339408.758
300408.SZ,20250530,32.59,32.95,32.35,32.7,32.67,0.03,0.0918,95788.46,312597.09
300408.SZ,20250603,32.55,33.07,32.41,32.56,32.7,-0.14,-0.4281,108590.19,355624.923
300408.SZ,20250604,32.65,33.32,32.41,33.15,32.56,0.59,1.812,143127.86,472764.359
300408.SZ,20250605,33.23,33.92,32.91,33.6,33.15,0.45,1.3575,132880.78,444381.352
300408.SZ,20250606,33.63,33.87,33.03,33.12,33.6,-0.48,-1.4286,99565.92,331825.017
300408.SZ,20250609,33.19,33.5,32.83,33.46,33.12,0.34,1.0266,99782.88,332914.723
300408.SZ,20250610,33.46,33.53,32.65,32.78,33.46,-0.68,-2.0323,106393.5,351718.207
300408.SZ,20250611,32.82,33.3,32.69,32.82,32.78,0.04,0.122,104079.7,343628.957
300408.SZ,20250612,32.75,32.98,32.38,32.41,32.82,-0.41,-1.2492,97241.09,316339.025
300408.SZ,20250613,32.32,32.4,31.61,31.95,32.41,-0.46,-1.4193,144870.75,462058.775
300408.SZ,20250616,31.65,32.27,31.58,32.09,31.95,0.14,0.4382,87523.38,280380.505
300408.SZ,20250617,32.2,32.29,31.5,31.54,32.09,-0.55,-1.7139,91607.28,290722.254
300408.SZ,20250618,31.4,32.13,31.32,31.66,31.54,0.12,0.3805,104689.0,332680.837
300408.SZ,20250619,31.62,32.1,31.57,31.86,31.66,0.2,0.6317,114411.22,363762.508
300408.SZ,20250620,31.79,32.19,31.5,31.9,31.86,0.04,0.1255,85879.23,273997.312
300408.SZ,20250623,31.87,32.99,31.75,32.04,31.9,0.14,0.4389,124273.51,402526.821
300408.SZ,20250624,32.08,32.43,31.93,32.32,32.04,0.28,0.8739,92304.69,297215.911
300408.SZ,20250625,32.23,32.56,31.88,32.49,31.94,0.55,1.722,143984.35,463487.641
300408.SZ,20250626,32.46,32.7,31.89,31.93,32.49,-0.56,-1.7236,173353.94,559354.021
300408.SZ,20250627,32.01,32.5,31.77,32.2,31.93,0.27,0.8456,157276.03,506978.524
300408.SZ,20250630,32.32,33.6,32.32,33.4,32.2,1.2,3.7267,266015.78,884069.708
300408.SZ,20250701,33.29,33.42,32.72,32.79,33.4,-0.61,-1.8263,135017.75,444902.535
300408.SZ,20250702,32.79,32.83,32.43,32.48,32.79,-0.31,-0.9454,96178.44,313137.29
